cell,longitude,latitude,richness,phylo.dist,phylo.SC,phylo.SV,morpho.MNND,morpho.volume,morpho.SD.MSTD,funct.rich,funct.even,funct.div
6931,-69.8,-3.8,60,872.8,0.802658487,0.547258905,0.872188667,71638.52791,0.842859942,6,0.466666667,1.27240246
6932,-68.8,-3.8,54,814.5,0.796940089,0.550935393,0.893074641,71638.52791,0.88085077,6,0.481481481,1.30946658
6933,-67.8,-3.8,54,832.6,0.790085587,0.555462666,0.886572833,71638.52791,0.880805823,6,0.487654321,1.31389761
6934,-66.8,-3.8,54,795.9,0.804779217,0.543284188,0.860760089,71638.52791,0.883824156,6,0.475308642,1.28375193
6935,-65.8,-3.8,54,795.9,0.804779217,0.543284188,0.860760089,71638.52791,0.883824156,6,0.475308642,1.28375193
6936,-64.8,-3.8,54,787.9,0.806483375,0.539367125,0.854829828,82073.74135,0.882529902,6,0.469135802,1.27932089
6937,-63.8,-3.8,54,787.9,0.806483375,0.539367125,0.854829828,82073.74135,0.882529902,6,0.469135802,1.27932089
6938,-62.8,-3.8,54,792.9,0.799704613,0.539039869,0.859076266,82073.74135,0.877756092,6,0.462962963,1.26258964
6939,-61.8,-3.8,53,787.1,0.797353089,0.538693047,0.875790387,82073.74135,0.880759565,6,0.455974843,1.24662241
6940,-60.8,-3.8,53,787.1,0.797353089,0.538693047,0.875790387,82073.74135,0.880759565,6,0.455974843,1.24662241
6941,-59.8,-3.8,52,782.4,0.795068429,0.541960846,0.891798802,82073.74135,0.887184941,6,0.461538462,1.25513682
6942,-58.8,-3.8,52,782.4,0.795068429,0.541960846,0.891798802,82073.74135,0.887184941,6,0.461538462,1.25513682
6943,-57.8,-3.8,50,755.6,0.79406953,0.543948917,0.889648301,82073.74135,0.93071883,6,0.466666667,1.26869347
6944,-56.8,-3.8,50,755.6,0.79406953,0.543948917,0.889648301,82073.74135,0.93071883,6,0.466666667,1.26869347
6945,-55.8,-3.8,50,755.6,0.79406953,0.543948917,0.889648301,82073.74135,0.93071883,6,0.466666667,1.26869347
6946,-54.8,-3.8,51,798.4,0.786037933,0.55732788,0.913759904,82073.74135,0.922999438,6,0.486928105,1.31314385
6947,-53.8,-3.8,51,809.7,0.781506877,0.558335138,0.923196328,82073.74135,0.89653133,6,0.486928105,1.31314385
